,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud,Date,Time,Age,merch_country,merch_state
2495,3524570000000000.0,fraud_Skiles-Ankunding,grocery_net,13.25,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,d40a602f3d62fc3849bacd25c413952b,27.874482,-80.381534,1,22/06/2020,03:48,38,United States,Florida
2506,3524570000000000.0,fraud_Kuhn LLC,shopping_pos,777.45,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,20ffa4abb3d483d9558c33640be75066,27.913215,-80.423565,1,22/06/2020,03:55,38,United States,Florida
2650,3524570000000000.0,fraud_Schumm PLC,shopping_net,967.86,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,4ee010ce369915da173469857effcea5,28.218323,-80.97967,1,22/06/2020,04:58,38,United States,Florida
5669,4005680000000000.0,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,825.81,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,d6f6c02b96059201092cab8cef7ceabf,29.477134,-90.715715,1,22/06/2020,21:51,30,United States,Louisiana
5757,3524570000000000.0,fraud_Shanahan-Lehner,personal_care,21.92,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,a965da9bc7daef7f526ce640d5c090ae,27.339943,-81.199244,1,22/06/2020,22:20,38,United States,Florida
5940,3524570000000000.0,"fraud_Haley, Batz and Auer",health_fitness,21.74,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,c3a4aa2a2242f932c576d974dae46a34,26.782874,-79.428065,1,22/06/2020,23:08,38,No Country found,No State found
6023,3524570000000000.0,fraud_Kutch-Wilderman,home,250.32,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,217ca81136b86234abecc0ece6358f96,27.27806,-79.594618,1,22/06/2020,23:35,38,No Country found,No State found
10036,180099000000000.0,fraud_DuBuque LLC,grocery_pos,315.45,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,6337ebf236753a68a2697295960a30b7,42.385601,-79.023729,1,24/06/2020,00:26,65,United States,New York
10047,180099000000000.0,"fraud_Huel, Hammes and Witting",grocery_pos,279.78,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,193eebbe720a3f04ab49e04ec2355902,41.898108,-78.397992,1,24/06/2020,00:44,65,United States,Pennsylvania
10167,180099000000000.0,fraud_Murray-Smitham,grocery_pos,287.38,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,a623c5c05b514e3d56ee333bd5565adc,42.012741,-79.204228,1,24/06/2020,02:56,65,United States,New York
10193,180099000000000.0,fraud_Heidenreich PLC,grocery_pos,276.4,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,e1cc0619cfe18299992638e7a19d5b3d,43.042593,-79.052508,1,24/06/2020,03:21,65,Canada,Ontario
10206,180099000000000.0,fraud_Huels-Hahn,gas_transport,7.82,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,75ecf87a722ea6a87d1d0dbb72919412,41.864069,-79.633384,1,24/06/2020,03:33,65,United States,Pennsylvania
11666,180099000000000.0,fraud_Durgan-Auer,misc_net,790.54,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,80275a9dbfd3b1a7a5a11bcaa000afab,43.22957,-78.451208,1,24/06/2020,22:03,65,United States,New York
11669,180099000000000.0,fraud_Bednar Group,misc_net,723.23,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,16aee906e2a1167ab8c20770a5b7cf79,41.673916,-78.922416,1,24/06/2020,22:07,65,United States,Pennsylvania
11702,3593120000000000.0,fraud_Hills-Boyer,personal_care,46.36,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,75365b9ba05a150f1751934da9b67d9b,44.408786,-66.960745,1,24/06/2020,22:26,65,Canada,New Brunswick
11710,180099000000000.0,fraud_Sawayn PLC,shopping_pos,996.31,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,5b52378eee32883f0dd60e506ac911fd,43.110777,-78.685005,1,24/06/2020,22:30,65,United States,New York
11770,180099000000000.0,"fraud_Mosciski, Ziemann and Farrell",shopping_net,902.3,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,6e37d3d1cc9d701679fd3910c20808d6,41.940223,-78.541627,1,24/06/2020,23:06,65,United States,Pennsylvania
11780,180099000000000.0,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,741.77,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,b971b65d32c1d9b36223370bb5744a94,43.225233,-77.814218,1,24/06/2020,23:15,65,United States,New York
11789,3593120000000000.0,fraud_Terry-Huel,shopping_net,900.77,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,53252776f86750964b0ab9b922708d15,44.971125,-68.909197,1,24/06/2020,23:20,65,United States,Maine
11799,180099000000000.0,fraud_Pfeffer and Sons,shopping_pos,1047.3,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,8c171170a9bf40cd94df9c66c3ede970,43.217469,-78.336094,1,24/06/2020,23:24,65,United States,New York
11831,3593120000000000.0,fraud_Ruecker Group,misc_net,737.99,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,684959c9c371a7c2407502b86861bd76,44.894012,-68.761446,1,24/06/2020,23:46,65,United States,Maine
11842,3593120000000000.0,fraud_Turcotte-Halvorson,misc_pos,49.18,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,a113daae572eb0d73af45fbc4fd5cb50,45.216686,-67.154141,1,24/06/2020,23:54,65,Canada,New Brunswick
13345,3593120000000000.0,"fraud_Mosciski, Ziemann and Farrell",shopping_net,1046.97,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,1e28f4d8c246e631eaa939dbb9dfa19a,45.05939,-68.335587,1,25/06/2020,18:16,65,United States,Maine
13741,3593120000000000.0,fraud_Miller-Harris,misc_net,850.82,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,26b513dd77a2680fab058dd8b113c108,44.386233,-68.757723,1,25/06/2020,22:24,65,United States,Maine
13806,3593120000000000.0,fraud_Goyette Inc,shopping_net,976.48,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,49a574fd22e8a19f229830c40eda50b2,44.955637,-67.503251,1,25/06/2020,23:01,65,United States,Maine
13876,3593120000000000.0,fraud_Lemke and Sons,travel,4.64,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,77177e8f49edc26821f92714d1ec7669,44.031055,-68.815604,1,25/06/2020,23:37,65,United States,Maine
13897,180099000000000.0,"fraud_Bahringer, Osinski and Block",food_dining,95.52,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,4c0e38b525e9490d3ca71b7e0c6de539,43.143611,-78.708062,1,25/06/2020,23:48,65,United States,New York
14043,213161000000000.0,"fraud_Osinski, Ledner and Leuschke",grocery_pos,297.2,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,ec0fd69e21b2d1227bdd96d25061c74c,33.248204,-85.745045,1,26/06/2020,01:35,61,United States,Alabama
14064,213161000000000.0,fraud_Kilback LLC,grocery_pos,315.72,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,79f7c82fe50e90466309135ad1b793d9,34.843287,-85.800046,1,26/06/2020,01:51,61,United States,Alabama
14386,213161000000000.0,"fraud_Schaefer, Maggio and Daugherty",gas_transport,8.32,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,01bbbf7a906610fe6f4fd20c7d4ca99a,33.27753,-86.362105,1,26/06/2020,05:56,61,United States,Alabama
14678,6544730000000000.0,fraud_Kunze Inc,grocery_pos,309.04,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,442a3b75f70a884b86275f9db67f17a5,40.821649,-86.546862,1,26/06/2020,09:31,42,United States,Indiana
15411,213161000000000.0,"fraud_Schiller, Blanda and Johnson",home,219.46,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,d002efc2db8e4a586a955557a3543ac4,33.227584,-86.050751,1,26/06/2020,16:34,61,United States,Alabama
16050,213161000000000.0,"fraud_Herman, Treutel and Dickens",misc_net,749.59,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,decbf2d0117525e5104b9c8bf353dd1c,34.483166,-86.335108,1,26/06/2020,22:08,61,United States,Alabama
16078,213161000000000.0,fraud_Heathcote LLC,shopping_net,1129.53,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,7950c9c41b8854359ef6307ed6d15678,34.539133,-86.761941,1,26/06/2020,22:20,61,United States,Alabama
16155,213161000000000.0,fraud_Volkman Ltd,misc_net,844.29,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,e8cdb55d2b4a6f26f9d999bcd65fead1,34.590163,-85.767171,1,26/06/2020,22:55,61,United States,Alabama
16196,6544730000000000.0,fraud_Schumm PLC,shopping_net,949.88,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,913d395d3dfc5d93fdf25dc9f7870653,41.618135,-87.554747,1,26/06/2020,23:18,42,United States,Illinois
16229,6544730000000000.0,fraud_Boyer PLC,shopping_net,935.06,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,9d24c700341ca7aa0e9b3d48fcf4e2b1,41.155063,-86.645029,1,26/06/2020,23:37,42,United States,Indiana
16231,6544730000000000.0,fraud_Kerluke-Abshire,shopping_net,1025.61,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,92cb4901841afb9c374df14d36dfac38,41.802631,-88.389592,1,26/06/2020,23:38,42,United States,Illinois
16326,3573390000000000.0,"fraud_Stroman, Hudson and Erdman",gas_transport,18.25,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,2e8c9135069fbe6f5aa93a8fa2ac655f,44.744951,-98.214561,1,27/06/2020,00:42,55,United States,South Dakota
16365,6544730000000000.0,fraud_Koss and Sons,gas_transport,11.82,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,bbcd797cf07dcba83d609ee6a5b79f6f,41.554511,-87.016728,1,27/06/2020,01:14,42,United States,Indiana
16442,6544730000000000.0,"fraud_Tillman, Fritsch and Schmitt",misc_net,764.71,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,edcfe3e9c8859adcb31bba8bdb90286d,41.870903,-87.172741,1,27/06/2020,02:06,42,United States,Michigan
16575,6544730000000000.0,fraud_Hackett-Lueilwitz,grocery_pos,294.78,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,d5ae7acabb0e7eac640e72d0e5c0528f,41.505282,-86.715398,1,27/06/2020,03:48,42,United States,Indiana
17711,6544730000000000.0,fraud_Schumm PLC,shopping_net,917.11,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,75c0ae4b4a70b9905579fcb4b612569e,40.691289,-87.412344,1,27/06/2020,16:14,42,United States,Indiana
18142,3573390000000000.0,fraud_Volkman Ltd,misc_net,667.17,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,276495f58de3af46843647fdd00843eb,46.0403,-97.71046,1,27/06/2020,19:47,55,United States,North Dakota
18458,6544730000000000.0,fraud_Mosciski Group,travel,9.99,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,4bfcd98ca90ac23496def4c6a39120db,41.104946,-87.261548,1,27/06/2020,22:23,42,United States,Indiana
18487,3573390000000000.0,fraud_Zboncak LLC,food_dining,135.82,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,c3ba6123277e80c42c5190ddd6867c37,45.419993,-97.823968,1,27/06/2020,22:39,55,United States,South Dakota
18509,3573390000000000.0,fraud_Spencer PLC,entertainment,614.72,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,140105375e97c577a1a0d363e4cedcd4,44.920705,-99.264799,1,27/06/2020,22:55,55,United States,South Dakota
18534,213161000000000.0,"fraud_Towne, Greenholt and Koepp",shopping_net,996.41,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,3d267ca2d3dfdd0330952d5e751fc11d,34.247756,-84.949305,1,27/06/2020,23:04,61,United States,Georgia
18537,213161000000000.0,fraud_Medhurst PLC,shopping_net,895.25,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,e97bba7a016e370eb4523ef437e3020a,33.710897,-85.099656,1,27/06/2020,23:07,61,United States,Georgia
18572,213161000000000.0,fraud_Bashirian Group,shopping_net,1134.41,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,815353b246f784616181388d7be9000d,33.114693,-85.837443,1,27/06/2020,23:26,61,United States,Alabama
18885,3581130000000000.0,fraud_Heidenreich PLC,grocery_pos,314.28,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,cc544877174677085ec9ae06d02d2c85,40.256607,-81.036006,1,28/06/2020,02:01,60,United States,Ohio
19034,3573390000000000.0,"fraud_Schumm, Bauch and Ondricka",grocery_pos,319.53,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,75c12eac15ec1bfcfa937d917e5e7cf1,45.247843,-98.280882,1,28/06/2020,03:23,55,United States,South Dakota
19392,3581130000000000.0,"fraud_Schultz, Simonis and Little",grocery_pos,241.45,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,b85e1410861909e7bd3bdd1af343a589,40.19583,-81.591419,1,28/06/2020,06:58,60,United States,Ohio
21721,3581130000000000.0,"fraud_Labadie, Treutel and Bode",shopping_net,1159.89,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,8a6c3bd7b38794bb2355ee761f5325b5,40.763354,-81.317657,1,28/06/2020,22:12,60,United States,Ohio
21747,3573390000000000.0,fraud_Gerlach Inc,shopping_net,1051.14,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,64e62a158d8caaa54ad30e767fd8cab3,46.45845,-98.578936,1,28/06/2020,22:21,55,United States,North Dakota
21937,3581130000000000.0,fraud_Fisher-Schowalter,shopping_net,1142.66,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,6cc195cdb0c39f3ab5d2b1a5860b86a2,41.894724,-81.866035,1,28/06/2020,23:24,60,United States,Ohio
21953,3573390000000000.0,fraud_Miller-Harris,misc_net,777.75,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,745d3d22bf0b7eb753d2d08899f9666a,45.128934,-98.292388,1,28/06/2020,23:28,55,United States,South Dakota
22015,3581130000000000.0,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1197.26,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,041e573c99f5f86a5110a99a2227d976,40.199599,-81.108596,1,28/06/2020,23:48,60,United States,Ohio
22087,571844000000.0,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,307.26,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,3c07233862b52f7f1956a87a881df970,37.582402,-85.696596,1,29/06/2020,00:15,72,United States,Kentucky
22236,4.7614e+18,fraud_Lemke-Gutmann,shopping_net,969.7,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,4afe8724ad1ed51bca2f0d08c9529e3b,37.310617,-92.913015,1,29/06/2020,01:17,38,United States,Missouri
22256,3581130000000000.0,"fraud_Goldner, Kovacek and Abbott",grocery_pos,314.73,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,cbe1550ef2f98882371a0f8a4c69f9ac,40.870022,-81.91135,1,29/06/2020,01:29,60,United States,Ohio
22353,4.7614e+18,fraud_Auer-Mosciski,grocery_pos,347.63,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,8c4c540bf889c0b690f005edae8ebaec,37.370362,-91.874828,1,29/06/2020,02:10,38,United States,Missouri
22379,3528230000000000.0,"fraud_Schultz, Simonis and Little",grocery_pos,342.87,Lauren,Moreno,F,83719 Wilson Shore,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,1940-09-06,5b2e5ab411dfd8712bce667fc37487ec,39.533647,-75.101612,1,29/06/2020,02:23,84,United States,New Jersey
22427,571844000000.0,fraud_Kunze Inc,grocery_pos,291.15,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,d1fee4e236e02808b987557689681670,37.790394,-85.506713,1,29/06/2020,02:44,72,United States,Kentucky
22547,3528230000000000.0,"fraud_Schultz, Simonis and Little",grocery_pos,326.49,Lauren,Moreno,F,83719 Wilson Shore,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,1940-09-06,96fb1e00060b63140d16a3fe25fdc018,40.115189,-75.488261,1,29/06/2020,03:32,84,United States,Pennsylvania
23015,4.7614e+18,fraud_Gleason-Macejkovic,shopping_net,1071.19,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,ea34095276881590a94477b94f1e4ef5,36.218266,-91.793638,1,29/06/2020,06:55,38,United States,Arkansas
23216,571844000000.0,"fraud_Osinski, Ledner and Leuschke",grocery_pos,344.74,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,29adf16de2a376ca8ac610a8dad5d0dc,37.618824,-85.437693,1,29/06/2020,08:16,72,United States,Kentucky
24869,571844000000.0,fraud_Wilkinson Ltd,entertainment,443.97,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,1dd7558077da437b22b45843f6d367ed,37.737605,-86.051863,1,29/06/2020,17:44,72,United States,Kentucky
25792,3528230000000000.0,fraud_Dooley Inc,shopping_pos,854.92,Lauren,Moreno,F,83719 Wilson Shore,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,1940-09-06,2be9e43e548dbb483e97a071c175e341,38.759631,-74.136925,1,29/06/2020,22:10,84,No Country found,No State found
25893,4.7614e+18,"fraud_Schiller, Blanda and Johnson",home,342.36,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,75523b58f5e36ecf78169790695888a2,35.871554,-91.637032,1,29/06/2020,22:35,38,United States,Arkansas
25921,3528230000000000.0,fraud_Lockman Ltd,grocery_pos,320.36,Lauren,Moreno,F,83719 Wilson Shore,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,1940-09-06,3f34d846a251a3e8231c6a1a107c514d,40.013038,-74.902923,1,29/06/2020,22:43,84,United States,New Jersey
25997,4.7614e+18,fraud_Monahan-Morar,personal_care,21.88,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,9bedb0a04a7ae8a83a4f69e3b4b73584,37.325467,-91.58335,1,29/06/2020,23:10,38,United States,Missouri
26013,30551600000000.0,fraud_Ankunding-Carroll,travel,8.85,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073,35.1836,-81.4552,5621,Toxicologist,1973-11-14,4358e65f19b0a0fdc7599ac3a9fb8cc4,35.660418,-80.569244,1,29/06/2020,23:16,51,United States,North Carolina
